disease;name
Apple___Apple_scab ; https://www.planetnatural.com/pest-problem-solver/plant-disease/apple-scab/
Apple___Black_rot ; https://extension.umn.edu/plant-diseases/black-rot-apple
Apple___Cedar_apple_rust ; https://gardenerspath.com/how-to/disease-and-pests/cedar-apple-rust-control/
Apple___healthy ;
Background_without_leaves ;
Blueberry___healthy ;
Cherry___Powdery_mildew ; https://treefruit.wsu.edu/crop-protection/disease-management/cherry-powdery-mildew/
Cherry___healthy;
'Corn___Cercospora_leaf_spot Gray_leaf_spot' ; https://en.wikipedia.org/wiki/Corn_grey_leaf_spot
Corn___Common_rust ;https://extension.umn.edu/corn-pest-management/common-rust-corn#:~:text=Common%20rust%20produces%20rust%2Dcolored,as%20sheaths%2C%20can%20be%20infected.
Corn___Northern_Leaf_Blight ; https://extension.umn.edu/corn-pest-management/northern-corn-leaf-blight
Grape___Black_rot ;https://ohioline.osu.edu/factsheet/plpath-fru-24
'Grape___Esca_(Black_Measles)' ; https://ipm.ucanr.edu/agriculture/grape/esca-black-measles/
'Grape___Leaf_blight_(Isariopsis_Leaf_Spot)' ; https://plantvillage.psu.edu/topics/grape/infos
Grape___healthy ;
'Orange___Haunglongbing_(Citrus_greening)' ; https://en.wikipedia.org/wiki/Citrus_greening_disease
Peach___Bacterial_spot ; https://www.canr.msu.edu/news/management_of_bacterial_spot_on_peaches_and_nectarines
Peach___healthy ;
Pepper,_bell___Bacterial_spot ; https://extension.wvu.edu/lawn-gardening-pests/plant-disease/fruit-vegetable-diseases/bacterial-leaf-spot-of-pepper
Pepper,_bell___healthy ;
Potato___Early_blight; https://www.gardeningknowhow.com/edible/vegetables/potato/potato-early-blight-treatment.htm#:~:text=Early%20blight%20of%20potato%20is,members%20of%20the%20potato%20family.
Potato___Late_blight; https://www.planetnatural.com/pest-problem-solver/plant-disease/late-blight/
Potato___healthy ;
Raspberry___healthy ;
Soybean___healthy ;
Squash___Powdery_mildew ; https://www.gardeningknowhow.com/edible/vegetables/squash/powdery-mildew-in-squash.htm
Strawberry___Leaf_scorch ; https://www.gardeningknowhow.com/edible/fruits/strawberry/strawberries-with-leaf-scorch.htm
Strawberry___healthy ;
Tomato___Bacterial_spot ; https://extension.umn.edu/disease-management/bacterial-spot-tomato-and-pepper
Tomato___Early_blight ; https://extension.umn.edu/disease-management/early-blight-tomato-and-potato
Tomato___Late_blight ; https://www.planetnatural.com/pest-problem-solver/plant-disease/late-blight/
Tomato___Leaf_Mold ; https://en.wikipedia.org/wiki/Tomato_leaf_mold
Tomato___Septoria_leaf_spot; https://www.thespruce.com/identifying-and-controlling-septoria-leaf-spot-of-tomato-1402974
'Tomato___Spider_mites Two-spotted_spider_mite' ; https://ag.umass.edu/vegetable/fact-sheets/two-spotted-spider-mite#:~:text=The%20two%2Dspotted%20spider%20mite,most%20important%20pests%20of%20eggplant.
Tomato___Target_Spot ; https://www.vegetables.bayer.com/ca/en-ca/resources/agronomic-spotlights/target-spot-of-tomato.html#:~:text=Target%20spot%20of%20tomato%20is,in%20Immokalee%2C%20Florida%20in%201967.
Tomato___Tomato_Yellow_Leaf_Curl_Virus ; https://en.wikipedia.org/wiki/Tomato_yellow_leaf_curl_virus
Tomato___Tomato_mosaic_virus ; https://en.wikipedia.org/wiki/Tomato_mosaic_virus
Tomato___healthy ;
